filename,label
CONTROL/train/CONTROL_00990.pkl,CONTROL
CONTROL/train/CONTROL_00709.pkl,CONTROL
CONTROL/train/CONTROL_00328.pkl,CONTROL
CONTROL/train/CONTROL_00337.pkl,CONTROL
CONTROL/train/CONTROL_00432.pkl,CONTROL
CONTROL/train/CONTROL_00969.pkl,CONTROL
CONTROL/train/CONTROL_00998.pkl,CONTROL
CONTROL/train/CONTROL_00787.pkl,CONTROL
CONTROL/train/CONTROL_00487.pkl,CONTROL
CONTROL/train/CONTROL_00637.pkl,CONTROL
CONTROL/train/CONTROL_00782.pkl,CONTROL
CONTROL/train/CONTROL_00871.pkl,CONTROL
CONTROL/train/CONTROL_00798.pkl,CONTROL
CONTROL/train/CONTROL_00509.pkl,CONTROL
CONTROL/train/CONTROL_00300.pkl,CONTROL
CONTROL/train/CONTROL_00792.pkl,CONTROL
CONTROL/train/CONTROL_00819.pkl,CONTROL
CONTROL/train/CONTROL_00392.pkl,CONTROL
CONTROL/train/CONTROL_00914.pkl,CONTROL
CONTROL/train/CONTROL_00724.pkl,CONTROL
CONTROL/train/CONTROL_00882.pkl,CONTROL
CONTROL/train/CONTROL_00421.pkl,CONTROL
CONTROL/train/CONTROL_00576.pkl,CONTROL
CONTROL/train/CONTROL_00740.pkl,CONTROL
CONTROL/train/CONTROL_00319.pkl,CONTROL
CONTROL/train/CONTROL_00180.pkl,CONTROL
CONTROL/train/CONTROL_00681.pkl,CONTROL
CONTROL/train/CONTROL_00386.pkl,CONTROL
CONTROL/train/CONTROL_00714.pkl,CONTROL
CONTROL/train/CONTROL_00542.pkl,CONTROL
CONTROL/train/CONTROL_00418.pkl,CONTROL
CONTROL/train/CONTROL_00909.pkl,CONTROL
CONTROL/train/CONTROL_00313.pkl,CONTROL
CONTROL/train/CONTROL_00511.pkl,CONTROL
CONTROL/train/CONTROL_00917.pkl,CONTROL
CONTROL/train/CONTROL_00749.pkl,CONTROL
CONTROL/train/CONTROL_00212.pkl,CONTROL
CONTROL/train/CONTROL_00636.pkl,CONTROL
CONTROL/train/CONTROL_00410.pkl,CONTROL
CONTROL/train/CONTROL_00411.pkl,CONTROL
CONTROL/train/CONTROL_00972.pkl,CONTROL
CONTROL/train/CONTROL_00003.pkl,CONTROL
CONTROL/train/CONTROL_00347.pkl,CONTROL
CONTROL/train/CONTROL_00961.pkl,CONTROL
CONTROL/train/CONTROL_00552.pkl,CONTROL
CONTROL/train/CONTROL_00849.pkl,CONTROL
CONTROL/train/CONTROL_00813.pkl,CONTROL
CONTROL/train/CONTROL_00146.pkl,CONTROL
CONTROL/train/CONTROL_00860.pkl,CONTROL
CONTROL/train/CONTROL_00172.pkl,CONTROL
CONTROL/train/CONTROL_00551.pkl,CONTROL
CONTROL/train/CONTROL_00494.pkl,CONTROL
CONTROL/train/CONTROL_00567.pkl,CONTROL
CONTROL/train/CONTROL_00818.pkl,CONTROL
CONTROL/train/CONTROL_00607.pkl,CONTROL
CONTROL/train/CONTROL_00012.pkl,CONTROL
CONTROL/train/CONTROL_00700.pkl,CONTROL
CONTROL/train/CONTROL_00231.pkl,CONTROL
CONTROL/train/CONTROL_00616.pkl,CONTROL
CONTROL/train/CONTROL_00842.pkl,CONTROL
CONTROL/train/CONTROL_00387.pkl,CONTROL
CONTROL/train/CONTROL_00869.pkl,CONTROL
CONTROL/train/CONTROL_00098.pkl,CONTROL
CONTROL/train/CONTROL_00816.pkl,CONTROL
CONTROL/train/CONTROL_00119.pkl,CONTROL
CONTROL/train/CONTROL_00540.pkl,CONTROL
CONTROL/train/CONTROL_00278.pkl,CONTROL
CONTROL/train/CONTROL_00001.pkl,CONTROL
CONTROL/train/CONTROL_00321.pkl,CONTROL
CONTROL/train/CONTROL_00195.pkl,CONTROL
CONTROL/train/CONTROL_00672.pkl,CONTROL
CONTROL/train/CONTROL_00465.pkl,CONTROL
CONTROL/train/CONTROL_00703.pkl,CONTROL
CONTROL/train/CONTROL_00282.pkl,CONTROL
